Suburb,avg_price,median_price,avg_building_area,total_revenue,transaction_count,avg_price_per_room,avg_landsize,price_to_area_ratio,revenue_pct,cumulative_revenue_pct,pareto_80
Newport,1061781.0218978103,970000.0,140.06204379562044,145464000.0,137,364541.1197080292,427.24817518248176,7580.79,1.003,41.329,True
Williamstown,1312481.308411215,1262000.0,153.78205607476636,140435500.0,107,416253.11542056076,305.8411214953271,8534.68,0.969,42.298,True
Toorak,1395258.01,937500.0,122.825,139525801.0,100,544237.1767000001,356.69,11359.72,0.962,43.26,True
Carnegie,947413.4246575342,875000.0,115.60958904109589,138322360.0,146,374324.54328767123,347.4246575342466,8194.94,0.954,44.214,True
Ascot Vale,1053226.923076923,1007500.0,135.3923076923077,136919500.0,130,364466.9869230769,386.1307692307692,7779.08,0.944,45.158,True
Prahran,1095778.861788618,1055000.0,101.54471544715447,134780800.0,123,483216.5311382114,243.97560975609755,10791.1,0.93,46.088,True
St Kilda,830696.2962962963,570000.0,91.56419753086419,134572800.0,162,393921.7077160494,441.6296296296296,9072.28,0.928,47.016,True
Armadale,1408952.6315789474,1200000.0,114.2918947368421,133850500.0,95,532990.3508421052,395.29473684210524,12327.67,0.923,47.939,True
Thornbury,957547.7553956835,998000.0,110.80935251798562,133099138.0,139,384068.7435971223,323.0935251798561,8641.4,0.918,48.857,True
Pascoe Vale,778236.8421052631,767000.0,128.41520467836258,133078500.0,171,279500.2925146199,434.89473684210526,6060.32,0.918,49.775,True
Albert Park,1912369.5652173914,1900000.0,122.8768115942029,131953500.0,69,720108.6957971014,176.65217391304347,15563.31,0.91,50.685,True
Elwood,926814.8778625954,687500.0,91.84351145038168,121412749.0,131,411176.52297709923,366.19847328244276,10091.24,0.837,51.522,True
Fitzroy North,1275185.4838709678,1275000.0,116.2709677419355,118592250.0,93,517043.9067741935,383.06451612903226,10967.36,0.818,52.34,True
Ivanhoe,1204260.2040816327,1062500.0,145.30612244897958,118017500.0,98,404565.1360204081,461.1020408163265,8287.75,0.814,53.154,True
Malvern,1668798.5074626866,1611000.0,140.2731343283582,111809500.0,67,560437.8108955224,335.8805970149254,11896.78,0.771,53.925,True
South Melbourne,1303505.8823529412,1200000.0,111.03658823529412,110798000.0,85,521743.13729411765,164.57647058823528,11739.43,0.764,54.689,True
Canterbury,2029777.7777777778,1890000.0,180.58333333333334,109608000.0,54,587703.7037037037,607.074074074074,11240.12,0.756,55.445,True
Templestowe Lower,1188771.7391304348,1181750.0,177.0054347826087,109367000.0,92,329626.26815217396,675.4565217391304,6716.02,0.754,56.199,True
Glenroy,674937.3270440252,670000.0,128.55201257861634,107315035.0,159,232892.4579245283,567.6352201257862,5250.31,0.74,56.939,True
Burwood,1249842.857142857,1262500.0,153.1642857142857,104986800.0,84,382376.2471428571,565.7738095238095,8160.15,0.724,57.663,True
